id: 6ecbc64a-3579-4b0f-a90a-81d3f03645e9, total_duration_in_sec: 5624.231, numFiles_prod_in_sec: 5580, numFiles_temp_in_sec: 4815
id: 6fe43251-31f3-4110-9ab1-e0664a0d1891, total_duration_in_sec: 3804.741, numFiles_prod_in_sec: 3780, numFiles_temp_in_sec: 2175
id: 7065efe4-aaee-4c8d-aaeb-8c46df3ba3ae, total_duration_in_sec: 1033.271, numFiles_prod_in_sec: 1020, numFiles_temp_in_sec: 255
id: 7092cb26-2cb2-4f78-a6dc-e8d573e5c55a, total_duration_in_sec: 10303.161, numFiles_prod_in_sec: 10155, numFiles_temp_in_sec: 8985
id: 709e1b5d-e2ca-4778-9c40-2ea43cc97cd1, total_duration_in_sec: 1953.912, numFiles_prod_in_sec: 1935, numFiles_temp_in_sec: 105
id: 7117f736-dafc-4635-9e62-eb65aea3aba3, total_duration_in_sec: 1920.018, numFiles_prod_in_sec: 1905, numFiles_temp_in_sec: 390
id: 71cae2bc-7b35-4930-ad49-a4cfd2a2d43e, total_duration_in_sec: 8305.752, numFiles_prod_in_sec: 8280, numFiles_temp_in_sec: 6330
id: 71eb8eee-afe5-4346-aa23-3ecc47420827, total_duration_in_sec: 5331.312, numFiles_prod_in_sec: 5310, numFiles_temp_in_sec: 4365
id: 74501efe-48a9-47a5-86b7-bebafc4ca020, total_duration_in_sec: 1927.882, numFiles_prod_in_sec: 1905, numFiles_temp_in_sec: 45
id: 7488430f-623c-4d89-bb8a-af73d5e9975c, total_duration_in_sec: 1224.083, numFiles_prod_in_sec: 1200, numFiles_temp_in_sec: 120
id: 74e313b4-7a27-4f1c-b248-775352a96e8d, total_duration_in_sec: 920.462, numFiles_prod_in_sec: 900, numFiles_temp_in_sec: 15
id: 762f9edc-01fd-4269-84b5-c91674f711c9, total_duration_in_sec: 1568.337, numFiles_prod_in_sec: 1545, numFiles_temp_in_sec: 225
id: 764b4e5a-5144-41f3-9b2c-2a030a5cca12, total_duration_in_sec: 4417.089, numFiles_prod_in_sec: 4320, numFiles_temp_in_sec: 2970
id: 768a8298-e7af-41ba-81d1-8e8c15e9324c, total_duration_in_sec: 1153.323, numFiles_prod_in_sec: 1140, numFiles_temp_in_sec: 270
id: 769f6985-1959-473c-9abf-434508c1d286, total_duration_in_sec: 5665.11, numFiles_prod_in_sec: 5595, numFiles_temp_in_sec: 4710
id: 77c09515-490b-45dd-b4da-64d8bb8ca9ed, total_duration_in_sec: 1624.48, numFiles_prod_in_sec: 1605, numFiles_temp_in_sec: 165
id: 78a3ce1b-55d7-48b8-a0f1-06337cf5ce51, total_duration_in_sec: 1184.473, numFiles_prod_in_sec: 1170, numFiles_temp_in_sec: 105
id: 78d38d35-05cc-4d1d-af86-3be674057113, total_duration_in_sec: 7124.878, numFiles_prod_in_sec: 7080, numFiles_temp_in_sec: 6210
id: 79d3a588-31c0-4695-ba42-a7454d4c8432, total_duration_in_sec: 2102.918, numFiles_prod_in_sec: 2085, numFiles_temp_in_sec: 360
id: 7b93064c-c12d-4b8f-89b5-05ae024f0a48, total_duration_in_sec: 4370.378, numFiles_prod_in_sec: 4260, numFiles_temp_in_sec: 2760
id: 7c92e648-50c7-4795-bdb9-c3b6f737f357, total_duration_in_sec: 2647.891, numFiles_prod_in_sec: 2595, numFiles_temp_in_sec: 1740
id: 7d0d51d0-fb29-40c9-8593-82bf6edc92be, total_duration_in_sec: 16795.73, numFiles_prod_in_sec: 23985, numFiles_temp_in_sec: 16785
id: 7dfc96a5-195a-43a5-a7e6-99684047df69, total_duration_in_sec: 3270.854, numFiles_prod_in_sec: 3225, numFiles_temp_in_sec: 2400
id: 7e36e298-f968-43ff-b74c-58050a9e14e5, total_duration_in_sec: 4838.241, numFiles_prod_in_sec: 4740, numFiles_temp_in_sec: 2580
id: 80bb766e-2b3a-4d9a-ad57-72324260bd74, total_duration_in_sec: 7851.274, numFiles_prod_in_sec: 7800, numFiles_temp_in_sec: 6270
id: 81d964f6-be37-4ff7-970e-c32662123d00, total_duration_in_sec: 1734.765, numFiles_prod_in_sec: 1710, numFiles_temp_in_sec: 525
id: 82dce34b-75b4-48ed-a36f-6d073c1f1ac8, total_duration_in_sec: 2807.573, numFiles_prod_in_sec: 2790, numFiles_temp_in_sec: 420
id: 843cadb8-a98b-45d0-bf72-f6536c05388a, total_duration_in_sec: 9844.149, numFiles_prod_in_sec: 9735, numFiles_temp_in_sec: 7830
id: 848eb2e6-3a68-4baf-b628-3fa47e093a1b, total_duration_in_sec: 3597.737, numFiles_prod_in_sec: 3495, numFiles_temp_in_sec: 1305
